anime_index,related_anime_indices,related_anime_title
77,77|78|627|1464|1507|2920|4504|5218|5411,My-Hime | My-Hime Specials | My-Otome 0: S.ifr |  | 
78,77|78|627|1464|1507|2920|4504|5218|5411,My-Hime | My-Hime Specials | My-Otome 0: S.ifr |  | 
79,79,Prétear: The New Legend of Snow White
80,80|614|13353,Air | Air in Summer
81,81,
82,82|343,Red Riding Hood Chacha | 
83,83,"Ceres, Celestial Legend"
84,84,Boys Be...
85,85|1891,Hana Yori Dango | Hana Yori Dango The Movie
86,86|87,Jing: King of Bandits | Jing: King of Bandits - Seventh Heaven
